"sku","fnsku","asin","product-name","condition","beginning-quantity","ending-quantity","received","returned","found","sold","removed","lost","disposed","other","discrepant-quantity"
"amzn1.fba.v1.btRkoe0OivpM_fOsl8K74sNSx2U","X001A6YAPH","B071D5FYFQ","Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 3 Unbreakable Jars, 2 Years Warranty, 400 W-Red, Includes Exclusive Recipe Book By Chef Sanjeev Kapoor","UsedAcceptable","1","0","0","0","0","0","-2","0","0","0","1"
"amzn1.fba.v1.TzhbFqRLAIcdH96I1nYqKmPkXWM","X001A70YIX","B01GE4XLOW","Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","UsedPoor","0","0","0","0","0","0","0","0","0","0","0"
"amzn1.fba.v1.ajKdznEsubS0AL0204NYr5_iQ3I","X001A7K1DV","B00K57MR22","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","UsedGood","0","0","0","0","0","0","0","0","0","0","0"
"M9-VN58-P086","X001A848MZ","B0844JD3M4","Samsung Galaxy S10 Lite (Prism Blue, 8GB RAM, 128GB Storage)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"SE-4MAY-29EL","X001A84GOF","B0844LKB8H","Samsung Galaxy S10 Lite (Prism White, 8GB RAM, 128GB Storage)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"VX-JU20-O3RU","X001A85SX3","B0844LKB8H","Samsung Galaxy S10 Lite (Prism White, 8GB RAM, 128GB Storage)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"6M-1BSC-Y2YI","X001A8A1VH","B089MRYXQ4","Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) Without Offer","NewItem","2","0","0","0","0","0","-2","0","0","0","0"
"LM-KACW-GL63","X001A8A2LL","B089MS18PH","Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) Without Offer","NewItem","1","0","0","0","0","0","-1","0","0","0","0"
"H4-MCR5-VP8F","X001A8AY4V","B089MS18PH","Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) Without Offer","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"YS-4I8R-TR99","X001A8Z4UP","B08DM44MXS","Wonderchef String Chopper 5-Blade Plus whisking Blade","NewItem","0","3","3","0","0","0","0","0","0","0","0"
"YN-MS87-SNK8","X001A92B8H","B08N2BYQR5","Wonderchef Royal Velvet Dosa Tawa - 28cm, 3mm, Red","NewItem","0","24","24","0","0","0","0","0","0","0","0"
"K1-8G48-CLTE","X001A92E93","B08PQSC3HP","Wonderchef Romano Warm Aluminium Non-Stick Dosa Tawa - 24cm, 3mm, Black Handle","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"04-U00Z-7SFY","X001A92FBP","B08N29CXYG","Wonderchef Royal Velvet Dosa Tawa - 30cm, 3mm, Red","NewItem","0","8","15","0","0","-7","0","0","0","0","0"
"2I-QYYV-VH50","X001A9FUDF","B08P5YWJVH","Gilma Lifestyle Finger Pulse Oximeter Pulse Oximeter (White)","NewItem","2","6","7","0","0","-3","0","0","0","0","0"
"F1-D9XO-GUW9","X001A9H9YD","B086KCCPBR","Samsung Galaxy S20 FE (Cloud White, 8GB RAM, 128GB Storage) Without Offer","NewItem","0","2","4","0","0","-2","0","0","0","0","0"
"DA-LBLY-SVDA","X001A9IUEL","B079KFB8JQ","Saregama Carvaan SC02 Portable Digital Music Player with Remote Control (Porcelain White)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"2J-CR5R-5LL4","X001A9MLNR","B085S77WG2","Usha Bloom Primrose 1250 mm 3 Blade Ceiling Fan (Sparkle White, Pack of 1)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"CI-CSC0-W62W","X001A9R0NX","B085S6P4XD","Usha Bloom Primrose 1250 mm 3 Blade Ceiling Fan (Sparkle Golden, Cherry, Pack of 1)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
