"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Prestige Omega Select Plus Non-Stick Concave Tawa, 25cm,Black","ubngfaq5ej","B00AYA876A","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","10","4","10","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)","B2-6OFX-W8AD","B01GZSQJPA","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","9","4","9","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Bajaj Flashy 1000 Watts Radiant Room Heater (Steel)","BM-BSOR-A85E","B009P2LKG2","New","unassigned","BLR4","694.92","1","0","","out_of_stock","9","4","9","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Panasonic Single Line KX-TS500MX Corded Phone (White)","FE-N2HD-6OFX","B009L03NQS","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","9","4","9","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Panasonic KX-TSC60SXB Corded Phone (Black)","panasonic_KX_TSC60SXB","B00DM58OGM","New","unassigned","SDEE","0.0","0","0","","out_of_stock","9","4","9","4","24/01/21","24/01/21","North","SDEA,PNQ2,SDED","Not Available"
"Panasonic AC MX-AC555 Mixer Grinder, 550W, 5 Jars (Gold)","52-BHC9-GLSF","B07H3SRC4C","New","unassigned","BLR4","9306.79","2","0","0","out_of_stock","8","4","8","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","95.0"
"Wahl 79465-224 Extreme Grip (Black)","64-LUSC-8RRC","B07YSHC68D","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","71.1"
"Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","9H-UYHA-JFCN","B07CR4GRR2","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"TTK Prestige Omega Select Plus Square Induction Base Non-Stick Aluminium Kadai, 250mm, Black","DB-A040-J6FN","B07GQ4CDGW","New","unassigned","BLR4","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold)","ID-02QP-AYEU","B009PJF8TU","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","98.7"
"Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Red","KH-7YIR-FZ5G","B07FL3NQQG","New","unassigned","BLR4","3017.8","1","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black)","KR-DP2R-TVB6","B0734W9HK3","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"KENT Pearl 8-Litres Mineral RO + UV/UF + TDS Water Purifier,Blue and White","N4-UE5F-78VK","B0073QJ2F8","New","unassigned","BLR4","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","71.4"
"Morphy Richards 28 RSS 28 Litre Oven Toaster Griller (Black)","OO-CL3W-8QR8","B07QSLR6QB","New","unassigned","BOM7","369502.56","57","0","0","out_of_stock","8","4","8","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","72.2"
"Sujata Powermatic Plus, Juicer Mixer Grinder with Chutney Jar, 900 Watts, 3 Jars (White)","TK-KH30-1OF6","B07Y9PY6Y1","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","8","4","8","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige PKNSS Electric Kettle, Silver, 1.0 L","0N-8MYQ-7DUK","B08HQNH2LS","New","unassigned","BLR4","0.0","0","0","","out_of_stock","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) Without Offer","2Y-DFMJ-9X4J","B07XF4SWJ9","New","unassigned","BLR4","35667.8","2","0","","out_of_stock","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Omega Select Plus Non-Stick Omni Tawa, 25cm","5O-O3B0-HIO5","B00AYA86R0","New","unassigned","BOM7","14991.17","23","0","0","out_of_stock","7","4","7","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)","B2-6OFX-W8AD","B01GZSQJPA","New","unassigned","BLR4","0.0","0","0","","out_of_stock","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","H3-MQ7E-4G7S","B071113J7M","New","unassigned","BLR4","0.0","0","0","","out_of_stock","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Samsung Galaxy S20 FE (Cloud Mint, 8GB RAM, 128GB Storage) Without Offer","HU-MVQW-FBRW","B086KF4FZF","New","unassigned","BLR4","0.0","0","1","0","out_of_stock","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
