"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"10-Feb-2021 7:35:28 pm UTC","14992905562","Order
","406-8634441-2052310","VF-E7DT-39R3","realme Fashion Watch","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUDBIDRI","KARNATAKA","574227","3,296.61","0","0","593.39","0","0","-32.97","-665.58","-62.54","-35.40","0","3,093.51"
"10-Feb-2021 7:35:28 pm UTC","14992864822","Order
","171-5351405-7246746","VF-E7DT-39R3","realme Fashion Watch","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Bhilai","CHHATTISGARH","490020","3,296.61","33.90","-33.90","593.39","0","0","-32.97","-665.58","-62.54","-35.40","0","3,093.51"
"10-Feb-2021 7:35:35 pm UTC","14992905562","Order
","407-4103489-3635518","EF-2PD9-UCGN","Samsung Metro 313 (SM-B313E, Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MANGALORE","KARNATAKA","575010","1,923.73","0","0","346.27","0","0","-19.24","-133.93","-62.54","-35.40","0","2,018.89"
"10-Feb-2021 7:35:38 pm UTC","14992905562","Order
","407-5356561-2829158","W7-PW5B-V528","Motorola E7 Plus (Misty Blue, 64 GB) (4 GB RAM)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIRAR (West)","MAHARASHTRA","401303","9,040.68","33.90","-33.90","1,627.32","0","0","-90.41","-629.41","-62.54","-35.40","0","9,850.24"
"10-Feb-2021 7:35:44 pm UTC","14992905562","Order
","405-0433135-8951556","VF-IIPS-ARMB","Samsung Metro 313 (SM-B313E, Gold)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHHUTMALPUR","UTTAR PRADESH","247662","1,932.20","0","0","347.80","0","0","-19.32","-134.52","-62.54","-35.40","0","2,028.22"
"10-Feb-2021 7:41:12 pm UTC","14992905562","Order
","404-3206082-6247524","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HAPUR","UTTAR PRADESH","245101","455.93","0","0","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"10-Feb-2021 7:41:38 pm UTC","14992905562","Order
","408-2248686-7545918","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BALLARI","KARNATAKA","583101","4,701.69","0","0","846.31","0","0","-47.02","-425.53","-244.26","-35.40","0","4,795.79"
"10-Feb-2021 7:41:41 pm UTC","14992905562","Order
","407-8590158-1513910","51-VTL9-C956","Bajaj Food Factory FX 11 600-Watt Food Processor (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500090","5,499.15","33.90","-33.90","989.85","0","0","-54.99","-497.71","-315.06","-35.40","0","5,585.84"
"10-Feb-2021 7:41:44 pm UTC","14992905562","Order
","403-3805321-5780305","16-4YHJ-CZRC","Bajaj Rex Mixer Grinder, 500W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VOLETIVARIPALEM","ANDHRA PRADESH","523113","1,865.25","0","0","335.75","0","0","-18.65","-142.85","-152.22","-35.40","0","1,851.88"
"10-Feb-2021 7:41:51 pm UTC","14992905562","Order
","408-4452768-2164312","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110033","455.93","33.90","-33.90","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"10-Feb-2021 7:41:56 pm UTC","14992864822","Order
","408-0516260-2461113","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","vadodara","GUJARAT","390006","455.93","33.90","-33.90","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"10-Feb-2021 7:42:00 pm UTC","14992905562","Order
","405-1283646-0976367","FH-J7P1-31OU","Wonderchef Nutri-Pot 1000 Watts (Black/Silver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIJAYAWADA","ANDHRA PRADESH","520011","5,923.73","0","0","1,066.27","0","0","-59.24","-536.13","-244.26","-35.40","0","6,114.97"
"10-Feb-2021 7:44:29 pm UTC","14992905562","Refund
","406-4508296-0963501","74-ZR7L-FUQV","Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","502032","-8,854.24","0","0","-1,593.76","0","0","88.54","616.43","0","35.40","0","-9,707.63"
"10-Feb-2021 7:46:42 pm UTC","14992864822","Order
","171-4239255-2064334","WE-Q8T4-LLIO","Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SHILLONG","MEGHALAYA","793001","2,076.27","33.90","-33.90","373.73","0","0","-20.76","-159.01","-173.46","-35.40","0","2,061.37"
"10-Feb-2021 7:51:45 pm UTC","14992905562","Order
","407-4046885-0749920","ZG-JIO1-3A5C","Prestige 1.0 Vegetable Cutter, Green","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600118","1,220.34","0","0","219.66","0","0","-12.20","-110.45","-88.50","-35.40","0","1,193.45"
"10-Feb-2021 7:53:23 pm UTC","14992905562","Order
","171-4063518-8414762","UI-K2A1-GKRP","Wonderchef - 63152446 Automatic Soup Maker 800-Watt (White and Steel)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","411038","5,144.92","33.90","-33.90","926.08","-25.72","-25.72","0","-465.65","-173.46","-35.40","0","5,345.05"
