Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
Maharaja Whiteline HB-115 130 W Turbomix Hand Blender (White & Red) with Ice Crushing Function,Maha-Wht-HB-115-Wht-Red,Defective001,1,0,0,0,0
WELOCITY PROFESSIONAL Pro Geemy GM - 657 Heavy Duty Super Taper Hair Clipper Beard Trimmer (Golden),Geem-657-Gld,Defective001,1,0,0,0,0
"Maharaja Mixer Grinder, 750W, 3 Jars (Brown) Turbo Twist Mx-208",Maha-Mix-Grn-750-W-Tur-Twt-Mx-208,Defective001,1,0,0,0,0
Maharaja Whiteline MX-220 1000 W Ultramax HD 3 SS Jar Mixer Grinder (Black),Maha-Wht-Ult-Mx-220-blk,Defective001,4,0,0,0,0
"Gilma Finger Tip Pulse Oximeter, Multipurpose Digital Monitoring Pulse Meter Rate with LED Digital Display - 1 Unit",Glima-Oximeter,Defective001,257,0,0,0,0
Maharaja Whiteline Jmg Odacio Plus 450-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver),Maha-Wht-Jmg-Oda-Plus-Mix-450,Defective001,8,0,0,0,0
Tefal Delicia 5 Piece Non-Stick Cookware Set (Greyish Coal),Tef-Del-5-pcs-Non-Cok-Gry-Col,Defective001,1,0,0,0,0
Morphy Richards SM3007(G) 700-Watt 2 Slice Grill Toaster (White),Mor-Ric-SM-3007-G-Toa-Wht,Defective001,1,0,0,0,0
Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) with Ice Crushing Function,Maha-Wht-HB-116-Wht-Red,Defective001,5,0,0,0,0
Tefal Steam Essential 1200 Watt Non Stick Steam Iron,Tef-Stm-1200-W-Non-Stk-iron,Defective001,1,0,0,0,0
"Wonderchef - 63152631 Plastic 5-Blade String Chopper, Red/White",Won-5-Blad-Strg-Chop-Red-Wht,Defective001,2,0,0,0,0
Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black),Maha-Mx-204-Pow-750-w-Mix-Grn-blk,Defective001,5,0,0,0,0
Panasonic SR-WA18H (YT) 660-Watt Automatic Cooker Warmer 4.4 Litre with Extra Cooking Pan (Color May Vary),Pan-SR-WA18H-YT,Defective001,5,0,0,0,0
Wahl 79803-024 Performer Cordless Clipper (Black),Wahl-79803-024-Per-Cor-Clip-Blk,Defective001,3,0,0,0,0
Orient Electric Aura Neo Instant 3L Vertical Water Heater,Ori-Ele-Aura-Neo-3-Lit-Wat-Hea,Defective001,1,0,0,0,0
Orient Electric Enamour Plus 25-Litre Vertical Storage Water Heater BEE 5 Star (White),Ori-Ele-Ena-Plus-25-Lit-Wat-Heat-Wht,Defective001,1,0,0,0,0
"Tefal Stainless Steel Express Eletric Kettle, 1.7 Liters, Metallic Grey",Tef-SS-Exp-Ele-Ket-1-7-Met-Grey,Defective001,1,0,0,0,0
Wonderchef Acura Plus Electric Kettle – 1.7L,wonderch-acura-pls-elect-kettle-1.7l,Defective001,1,0,0,0,0
Syska FT3108 Female Precision and Bikini Battery Operated Trimmer (White Pink),Sys-FT-3108-Fem-Tri-Wht-Pink,Defective001,2,0,0,0,0
Bajaj Majesty New KTX7 1-Litre Cordless Kettle (White),Baj-Maj-Ktx7-1-Lit-Ket-Wht,Defective001,2,0,0,0,0
"AmazonBasics Security Safe - 1-Cubic Feet,Black(28.31 litres)",1555,Defective001,1,0,0,0,0
"Micromax X378 (Blue, Power Torch Blink on Call, BT Calling Functionality, 800mAh)",Mic-X378-Blue,Defective001,1,0,0,0,0
Kemei Trimmer Gold/Black,Kemei-Trimm-Gld-Blk,Defective001,1,0,0,0,0
Bajaj immersion rod 1000w 150651 Silver,Baj-imm-rod-1w-150651-Sil,Defective001,2,0,0,0,0
Bajaj 1.2 Liters Electric Kettle (Black),Baj-1-2-ele-ket-Blk-silv,Defective001,1,0,0,0,0
Bajaj Majesty KTX 9 1-Litre Multifunction Stainless Steel Kettle,Baj-Maj-KTX-9-Lit-Mul-SS-Ket,Defective001,1,0,0,0,0
Maharaja Whiteline Mark 1 Happiness 450-Watt Juicer Mixer Grinder (White and Red),Maha-White-Mark-1-Hap-450-W-JMG-Wht-Red,Defective001,1,0,0,0,0
Bajaj GX 3701 750 Watts Mixer Grinder with 3 Jars (Black),Baj-Gx-3701-750-W-3-Jar-Blk,Defective001,2,0,0,0,0
"Pigeon by Stovekraft Non-Stick Biriyani Pot with Lid, 4 litres",Pig-Stv-Non-Stk-Biri-Pot-4-L,Defective001,1,0,0,0,0
Philips HP8143/00 Hair Dryer (Pink),Phi-HP-8143-Hai-Dry-Pink,Defective001,1,0,0,0,0
Morphy Richards 60 RCSS 60-Litre Oven Toaster Grill (Black/Silver),Mor-Ric-60-RCS-OTG-Blk-Sil,Defective001,1,0,0,0,0
Panasonic KX-TSC62SXW Corded Telephone,Pan-KX-TSC62-SXW-Cod-Tel,Defective001,1,0,0,0,0
Gasnova 4 Burber Gas Stove,15566,Defective001,1,0,0,0,0
Lifelong power pro mixer grinder 500 watt Blue,LLMG20,Defective001,1,0,0,0,0
Realme Buds Air Neo Bluetooth True Wireless Headset (White),Real-buds-air-neo-blu-tru-wir-hea-Wht,Defective001,9,0,0,0,0
Wonderchef Nutri blend compact food processor Black only Jars,154545,Defective001,1,0,0,0,0
Pigeon by Stovekraft Favourite 1800-Watt Induction Cooktop,Pig-Stv-Fav-1800-w-Ind-Cook,Defective001,2,0,0,0,0
Shubh Ganga Mixer Grinder,12356,Defective001,1,0,0,0,0
"Prestige Omega Select Plus Non-Stick Omni Tawa, 25cm",30709,Defective001,1,0,0,0,0
Wahl NIS Cordless Clipper,Wahl-NIS-Cord-Clip-Blk,Defective001,1,0,0,0,0
HTC CT-103 Professional Hair Clipper | Trimmer White,HTC-CT-103-Hai-Clip-Wht,Defective001,2,0,0,0,0
Borg classic kitchen machine 600w,155558,Defective001,1,0,0,0,0
Maharani hard coat cookware non-stick fry pan,Mah-har-coa-cook-non-stic-fruy-pan,Defective001,1,0,0,0,0
Toshiba Taffy Mixer Grinder,Tos-taff-mix-grn,Defective001,1,0,0,0,0
Prestige Stylo Plus Mixer Grinder 550 W,41376,Defective001,1,0,0,0,0
Bluemix mixer grinder 550 W,Blue-mix-grn-550-w,Defective001,1,0,0,0,0
LG Stainless Steel Pressure Cooker 3 Litre,LG-SS-Pre-Cok-3-Lit,Defective001,1,0,0,0,0
Usha 29L (OTGW 3629R) Oven Toaster Grill (Wine & Matte Black),USH-29L-OTG-WIN-MAT-BLK,Defective001,1,0,0,0,0
"Vivo V20 2021 (Sunset Melody, 8GB RAM, 128GB ROM) Without Offers",VIV-V20-SUN-MEL-8-128-GB,Defective001,1,0,0,0,0
Pigeon Glory mixer grinder 550W White Blue,125556256,Defective001,1,0,0,0,0
"Pigeon by Stovekraft Non-Stick Kadai,150 with SS Lid - Dia 19.7cm",Pig-stv-Non-Stk-kad-150-mm-Dia-19-cm,Defective001,1,0,0,0,0
Wonderchef Nutri-Blend CKM) with 3 Jars only 400W - Red,15551,Defective001,1,0,0,0,0
