Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
Prestige Sandwich Maker Grill Fixed PGMFB Black,41467,Defective001,3,0,0,0,0
Prestige HA Multi kadai - 280mm With Glass LID,30609,Defective001,1,0,0,0,0
Prestige Royale Plus Schott Glass Top GT 03L AI,40205,Defective001,1,0,0,0,0
BAJAJ OTG 2200 TMSS,420075-OTG-2200-TMSS,Defective001,1,0,0,0,0
Sony Hard Disk External 1 TB HDD D 18 WHITE,37172-Sony-Hrd-Dsk-1TB,Defective001,1,0,675,0,0
SAREGAMA CARVAAN MINI 2.0 SUNSET RED HINDI,CAR-MINI-2-0-SUN-RED-HINDI,Defective001,1,0,10.43,0,0
Bajaj DHX 9 Dry Iron,440154,Defective001,1,0,0,0,0
Sony Hard Disk External 1 TB HDD D 18 BLACK,SONY-HDD-1-TB-BLK,Defective001,1,0,0,0,0
Bajaj Mixer Grinder Rex 500w -39004,BAJ-MIX-GRD-REX-500W,Defective001,9,0,0,0,0
Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black),Pano-MX-AC400_550W-Sup-Mix-4Jar-Black,Defective001,2,0,0,0,0
Morphy Richards Fresco 800-Watt 4-Cups Espresso Coffee Maker,Mor-Rich-Fresco-800-Watt-4-Cups- Coff-Mak,Defective001,1,0,0,0,0
"410167-BAJAJ GLORY 500W MIXER GRINDER, 410167-BAJ-GLO-500W-MIX-GRN",410167-BAJ-GLO-500W-MIX-GRN,Defective001,4,0,0,0,0
410179-Bajaj Majesty JEX 16 800-Watt Juicer ( Black ) 410179-Baj-Maj-JEX-16-800w-Juic-Blk,410179-Baj-Maj-JEX-16-800w-Juic-Blk,Defective001,1,0,0,0,0
Panasonic MX-AC555 New 550-Watt Mixer Grinder with 5 Jars (Bronze) Pano-Ac-Mx-AC555-550W-Mix-5Jar-Bronze,Pano-Ac-Mx-AC555-550W-Mix-5Jar-Bronze,Defective001,2,0,0,0,0
"270071-Bajaj Majesty Grill Toaster SWX 400, 270071-Baj-Maj-Gri-Toa-SWX-400",270071-Baj-Maj-Gri-Toa-SWX-400,Defective001,1,0,0,0,0
