"snapshot-date","sku","fnsku","asin","product-name","condition","sales-rank","product-group","total-quantity","sellable-quantity","unsellable-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","units-shipped-last-24-hrs","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-90-days","units-shipped-last-180-days","units-shipped-last-365-days","weeks-of-cover-t7","weeks-of-cover-t30","weeks-of-cover-t90","weeks-of-cover-t180","weeks-of-cover-t365","num-afn-new-sellers","num-afn-used-sellers","currency","your-price","sales-price","lowest-afn-new-price","lowest-afn-used-price","lowest-mfn-new-price","lowest-mfn-used-price","qty-to-be-charged-ltsf-12-mo","qty-in-long-term-storage-program","qty-with-removals-in-progress","projected-ltsf-12-mo","per-unit-volume","is-hazmat","in-bound-quantity","asin-limit","inbound-recommend-quantity","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo"
"2021-02-13T18:30:00+00:00","I8-H3ID-SD9X","X0013QA4EP","B00N3L0Z9E","Cello Lifestyle Stainless Steel Bottle, Hot and Cold 1000ml","No Listing","565","gl_kitchen","2","0","2","0","0","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","2","0","INR","0.00","0.00","810.00","0.00","699.00","0.00","0","0",,"0.00","3760.464267","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","OB-BE4U-V44Q","X0013PUEOB","B07L6JRHHH","Prestige TATTVA Copper Bottle TCB 01-950 ml","New","408","gl_kitchen","1","1","0","1","0","0","0","0","0","2","2","11","11","11","0.5","2.0","1.1818181818182","2.3636363636364","4.7272727272727","14","0","INR","805.00","805.00","760.00","0.00","796.00","0.00","0","0",,"0.00","2166.739757","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","PM-DRQC-NLUA","X0013PJ1BX","B07T3SBH7M","Wonderchef Power Glass Top 3 Burner Gas Stove, Manual Ignition, Black","New","18370","gl_kitchen","10","10","0","10","0","0","0","0","0","0","6","18","33","33","Infinite","6.66666666666667","7.2222222222222","7.8787878787879","15.7575757575758","4","0","INR","2810.00","2810.00","2809.00","0.00","1003064.00","0.00","0","0",,"0.00","41910.09207","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","17-AF2A-ZWVK","X0013NRWPH","B07PPGLLP1","First Smile Soft Love Cushion Pillow Dog (Beige)","New","197786","gl_toy","1","1","0","1","0","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","420.00","420.00","420.00","0.00","0.00","0.00","0","0",,"0.00","8121.617858","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","VG-I846-ID4B","X0013MP1XD","B07XZJCSNG","Nutri-Blend Compact Food Processor, 22000 RPM Mixer-Grinder, Chopper, Food Processor, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black, Includes Exclusive Recipe Book By Chef Sanjeev Kapoor","New","13840","gl_kitchen","4","4","0","4","0","0","0","0","0","0","28","75","275","296","Infinite","12.57142857142857","15.2533333333333","8.32","15.4594594594595","5","0","INR","3848.00","3848.00","3835.00","0.00","5499.00","0.00","0","0",,"0.00","18692.969055","N","84","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","9H-UYHA-JFCN","X0013MP1K1","B07CR4GRR2","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","No Listing","986","gl_kitchen","1","0","1","0","0","0","0","0","18","117","148","766","776","1124","0.0","0.0","0.0","0.0","0.0","4","0","INR","0.00","0.00","499.00","0.00","958.00","0.00","0","0",,"0.00","2604.635057","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","LG-7870-1E0C","X0013I6MNP","B07L6M4RTT","Prestige TATTVA Copper Bottle TCB 04-1000 ml","New","14693","gl_kitchen","39","39","0","39","0","0","0","0","0","0","2","5","5","18","Infinite","78.0","101.4","202.8","112.6666666666667","9","0","INR","807.00","807.00","747.00","0.00","746.99","0.00","0","0",,"0.00","2149.841232","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","X4-SKUG-ZAN1","X0013GLT2B","B002RL8XCW","Prestige Popular Aluminium Pressure Cooker, 12 Litres, Silver","New","229","gl_kitchen","4","4","0","4","0","0","0","0","0","0","0","0","13","17","Infinite","Infinite","Infinite","8.0","12.2352941176471","6","0","INR","3070.00","3070.00","2899.00","0.00","2897.88","0.00","0","0",,"0.00","35961.209895","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","AI-TIK7-CJLH","X0013GLSCH","B00QWSPK5E","Prestige Popular Plus Induction Base Pressure Cooker, 12 Litres","New","23646","gl_kitchen","8","8","0","8","0","0","0","0","0","0","0","19","44","56","Infinite","Infinite","5.4736842105263","4.7272727272727","7.4285714285714","5","0","INR","3170.00","3170.00","3020.00","0.00","2999.00","0.00","0","0",,"0.00","37573.618501","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","QZ-ESXD-YX7A","X0012AM3TL","B00E9HJF2Y","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","New","2964","gl_kitchen","71","71","0","71","0","0","0","0","0","2","183","186","203","315","35.5","1.55191256830601","4.9623655913978","9.0935960591133","11.7206349206349","5","0","INR","1569.00","1569.00","1566.00","0.00","1899.00","0.00","0","0",,"0.00","30310.554553","N","0","0","0","0","0.00"
