"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X0017A41O1","35-MDBA-S4BM","Bajaj Twister Fruity 750-Watt Mixer Grinder with 3 Jars (White/Blue)","36.0","36","SIDA","SELLABLE","IN"
"12/2020","X00177JPXV","S9-4YKC-KBWX","Pringle BM 3000 Breakfast Maker 3 in 1 (Black, 9 Litre)","0.23","0","QWTT","SELLABLE","IN"
"12/2020","X0016Y8R2Z","HT-HFEM-TFQE","Pigeon by Stovekraft Tango Glass-Ceramic 2 Burner Gas Stove, Black","2.87","3","QWTT","SELLABLE","IN"
"12/2020","X0016XLE3F","7S-TMF1-OOKV","Wahl India Easy Breezy Hair Dryer (Multicolor)","5.0","5","QWTT","SELLABLE","IN"
"12/2020","X0016V0I5H","U5-LNDV-MF9Z","Morphy Richards Kaffeto 1350 W Milk Frother and Coffee Maker","4.68","0","BOM7","SELLABLE","IN"
"12/2020","X0016UYAYX","3Q-ICPR-8M8T","Morphy Richards HBCS 400-Watt Hand Blender (White)","7.1","0","SIDA","SELLABLE","IN"
"12/2020","X0016UYAYX","3Q-ICPR-8M8T","Morphy Richards HBCS 400-Watt Hand Blender (White)","0.23","0","QWTT","SELLABLE","IN"
"12/2020","X0016SF9RH","PM-XWSK-QK0L","Panasonic MK-SW200BLK Wet Grinder, 2 L (Black)","4.13","5","BOM1","SELLABLE","IN"
"12/2020","X0016S3893","1K-B5UE-LILW","Pigeon by Stovekraft Rapido Touch DX 2100-Watt Stainless Steel Induction Cooktop (Black)","0.03","0","QWTT","SELLABLE","IN"
"12/2020","X0016S369P","9Q-H7X3-E39G","Pigeon by Stovekraft Non-Stick Flat Tawa, 25cm","1.0","1","QWTT","SELLABLE","IN"
"12/2020","X0016S369P","9Q-H7X3-E39G","Pigeon by Stovekraft Non-Stick Flat Tawa, 25cm","9.0","9","BOM7","SELLABLE","IN"
"12/2020","X0016S369P","9Q-H7X3-E39G","Pigeon by Stovekraft Non-Stick Flat Tawa, 25cm","8.0","7","BLR7","SELLABLE","IN"
"12/2020","X0016RSF47","KD-U2I9-D5P2","Pigeon by Stovekraft Special Non-Stick Aluminium Flat Tawa, Black (27cm)","3.0","3","QWTT","SELLABLE","IN"
"12/2020","X0016Q49I9","Z6-43LK-TTSE","Wahl India Adjustable and Rechargeable 6 Position Beard Trimmer (Black)","0.68","0","QWTT","SELLABLE","IN"
"12/2020","X0016KPM81","amzn1.fba.v1.IITfJxG9Zcf9Oggfwm_pAMdA6hU","Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","0.1","0","BLR7","CARRIER_DAMAGED","IN"
"12/2020","X0016KKY8T","XF-AHFA-21GB","Wahl Hair Dryer Black","4.13","3","SIDA","SELLABLE","IN"
"12/2020","X0016KKY8T","XF-AHFA-21GB","Wahl Hair Dryer Black","1.0","1","QWTT","SELLABLE","IN"
"12/2020","X0016KBVIB","05-BBOD-EEHZ","Syska HT800 Cordless Trimmer for Men (Black)","124.71","1","SIDA","SELLABLE","IN"
"12/2020","X0016KBVIB","05-BBOD-EEHZ","Syska HT800 Cordless Trimmer for Men (Black)","3.32","2","QWTT","SELLABLE","IN"
"12/2020","X0016KBD2Z","LH-RHL0-MBQR","Syska FT3108 Female Precision and Bikini Battery Operated Trimmer (White Pink)","0.29","0","SIDA","SELLABLE","IN"
