"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X001A0WXJN","OO-CL3W-8QR8","Morphy Richards 28 RSS 28 Litre Oven Toaster Griller (Black)","0.03","1","BLR7","SELLABLE","IN"
"12/2020","X0019VLYYD","RF-TNVE-MA22","Wonderchef Glass French Presser, Black","0.03","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0019AGG97","57-ELHQ-607Z","Bajaj New Majesty Instant 1 Litre, 3 KW Verical Water Heater (White)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184Z27V","GV-JU04-H6W3","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.06","2","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.03","1","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X0017UJVOL","JW-NHFJ-H79W","Nokia 2.3 Android 10 Smartphone 2GB RAM, 32GB Storage, Dual Rear Camera, Charcoal","0.03","1","BLR7","SELLABLE","IN"
"12/2020","X0017N336Z","GF-3KCS-4AID","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Black, (Mixer Grinder)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0017N336Z","GF-3KCS-4AID","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Black, (Mixer Grinder)","0.03","1","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X0017FVRMF","0T-DB7J-SYOO","Prestige Designer Sandwich Maker PSMFB (D) with Fixed Sandwich Plates","0.03","1","BOM5","CUSTOMER_DAMAGED","IN"
"12/2020","X0016KBVIB","05-BBOD-EEHZ","Syska HT800 Cordless Trimmer for Men (Black)","0.03","1","BOM7","DEFECTIVE","IN"
"12/2020","X0014DZLTZ","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","4.81","149","SIDA","SELLABLE","IN"
"12/2020","X00149TD5H","8K-2FGR-PD87","Bajaj Majesty New KTX7 1-Litre Cordless Kettle (White)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00146TECH","GD-TGBU-0X18","Usha Cook Joy (3820) 2000-Watt Induction Cooktop with Touch(Black)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00142VTER","RX-NJ93-UUO0","Prestige Clip On Stainless Steel Kadai Pressure Cooker with Glass Lid Accessory, 2-Pieces, Metallic, 3.5 L","0.03","1","BLR7","SELLABLE","IN"
"12/2020","X00125JSP3","S4-RHGK-GD53","Bajaj New Majesty Instant 3 Litre, 3 KW Verical Water Heater (White)","0.03","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0010XFTAZ","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","0.03","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0010HKU4V","8X-0I4P-XDN2","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Sunset Red)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000Z8KFJL","II-ELFS-H3IL","Prestige Die Cast Plus Square Grill Pan, 280mm, Black","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000Y6D8J3","FK-21U0-6T47","Philips HP8143/00 Hair Dryer (Pink)","1.94","60","QWTT","SELLABLE","IN"
"12/2020","X000WKW0KT","AL-YAVR-S5H4","Morphy Richards Primo Classique 750-Watt Mixer Grinder (Grey/Orange)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000T77FR3","LT-3PGB-V1EV","Prestige Delight Electric Rice Cooker PRWO 2.8-2 (1000 Watts) with 2 Aluminium Cooking Pans, Cooks Upto 1.7 kg Rice (Printed Flowers)","0.03","1","SPNA","CUSTOMER_DAMAGED","IN"
"12/2020","X000T74UTJ","2C-Y7RH-M39T","Prestige Delight Electric Rice Cooker PRWO 0.5 (300 watts) Cooks Upto 250 g Rice (White)","0.03","1","BOM1","CUSTOMER_DAMAGED","IN"
"12/2020","X000SOTLS3","5w5li1xlm4","Maharaja Whiteline Mark 1 Happiness 450-Watt Juicer Mixer Grinder (White and Red)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000SOCGW1","5vnu44cqjk","Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","0.03","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X000S6SXRL","L8-01V4-ZDF8","Panasonic KX-TG3411SX 2.4GHz Digital Cordless Phone (White)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X001ANBFQ7","amzn1.fba.v1.3QBVie1ZTB3Li-37BU2-ppZEn7U","Prestige PRWO 0.6-2 300-Watt Electric Rice Cooker (White)","0.06","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AN97GR","amzn1.fba.v1.UOVQS8_ZHbxWRsghfi668dfUdao","Prestige Pop-up Toaster PPTPR- Red","0.06","1","BOM5","CUSTOMER_DAMAGED","IN"
"12/2020","X001AMSDUJ","amzn1.fba.v1.XttG6RA02rN3LixhA8M3K4kCMNA","Morphy Richards Icon Superb 1000-Watt Food Processor (Glazing Copper and Black)","0.06","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AMQ0G3","amzn1.fba.v1.Ce9hPrTc02wD2wnzdelzWOvvwTE","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","0.06","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X001A8A1VH","6M-1BSC-Y2YI","Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) Without Offer","0.1","2","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0017IW8IT","9G-FDSI-J2RS","Prestige Popular Plus Induction Base Pressure Cooker, 10 Litres, Silver","0.06","1","BOM7","SELLABLE","IN"
"12/2020","X0016UQSED","I2-BGSY-X4WS","Morphy Richards Super Glide 2000-Watt Steam Iron (White/Blue)","0.06","1","BLR7","SELLABLE","IN"
"12/2020","X0015ZXDGZ","TM-TV2Z-HFKP","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+UF+MTDS 7 litres Water Purifier (Grey)","3.23","50","SDEE","SELLABLE","IN"
"12/2020","X0015N4WUX","I1-RHYF-844C","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","0.06","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0013Q9O6J","UP-EDQF-S8KA","Nokia 105 (Blue)","0.06","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0013GLSCH","AI-TIK7-CJLH","Prestige Popular Plus Induction Base Pressure Cooker, 12 Litres","0.06","1","BOM7","SELLABLE","IN"
"12/2020","X0010POM0L","8901308714908","Bajaj Majesty ICX Neo Induction Cooktop (Black)","0.06","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000T7JH3N","ZG-JIO1-3A5C","Prestige 1.0 Vegetable Cutter, Green","2.94","43","SIDA","SELLABLE","IN"
"12/2020","X000T51HPB","ZU-ZO65-938Z","Prestige Nakshatra Pressure Cooker, 3 Litres, Red","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X000SW8KEL","80-3Z88-69D3","Prestige Omega Granite Aluminium Kitchen Set, 4-Pieces, Black","0.26","4","SIDA","SELLABLE","IN"
"12/2020","X000RV5SIJ","SV-NIEJ-M7PX","Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","0.06","1","BLR7","SELLABLE","IN"
"12/2020","X001AMC8S7","amzn1.fba.v1.nU5hEmUwpyRgIzyy9MQG9JpARd0","(Renewed) Bajaj GX 8 750-Watt Mixer Grinder with 3 Jars","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X001AL2J1J","V1-M37P-62FJ","Realme 6i (Lunar White, 64 GB) (6 GB RAM)","0.29","3","SIDA","SELLABLE","IN"
"12/2020","X001AL0D5X","CQ-3U2Z-UESH","Realme 6 (Comet Blue, 4GB RAM, 64GB Storage)","0.55","4","SIDA","SELLABLE","IN"
"12/2020","X001AKWMGH","AI-1AMQ-V8J0","Samsung 198 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2G2X9R/HL, Paradise Purple)","0.1","1","RWB4","SELLABLE","IN"
"12/2020","X001AKV8XZ","99-A0NL-23EY","Samsung 8.0 Kg Semi-Automatic 5 Star Top Loading Washing Machine (WT80R4000RG/TL, Light Grey, Wine Red Lid (Opaque), Hexa Storm Pulsator)","0.1","1","RWB4","SELLABLE","IN"
"12/2020","X001AE7ZAB","98-1M8D-W2ZY","Micromax X421 Mobile Phone (Blue)","0.13","2","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X001A8A2LL","LM-KACW-GL63","Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) Without Offer","0.1","1","BLR7","DEFECTIVE","IN"
"12/2020","X001A6YAPH","amzn1.fba.v1.btRkoe0OivpM_fOsl8K74sNSx2U","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","0.1","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X001A2JVWX","UX-W4YD-L329","Samsung Galaxy S10 Lite (Prism Black, 8GB RAM, 128GB Storage)","0.1","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X001A112W1","QZ-KZG7-YJOU","Morphy Richards 60 RCSS 60-Litre Oven Toaster Grill (Black/Silver)","0.06","0","BLR7","SELLABLE","IN"
"12/2020","X0019KN3HZ","amzn1.fba.v1.EKSaCV9GtW_deYi0ulrkHmpPAtw","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.1","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X00191N8VF","F1-TOUJ-QEQL","Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4310AKXXL (Glossy Black) (2020 Model)","0.03","0","RWB4","SELLABLE","IN"
"12/2020","X00191N8O7","T9-NVCA-70KS","Samsung 80 cm (32 Inches) HD Ready LED TV UA32T4010ARXXL (Black) (2020 model)","0.1","1","RWB4","SELLABLE","IN"
"12/2020","X0018R78PH","5T-W1IS-4U6P","Bajaj GX 8 750-Watt Mixer Grinder with 3 Jars","0.06","0","BOM7","SELLABLE","IN"
"12/2020","X00186D9X3","XL-TR14-UBUX","Panasonic 80 cm (32 Inches) HD Ready Smart LED TV TH-32HS550DX (Black) (2020 Model)","0.1","1","RWB4","SELLABLE","IN"
"12/2020","X00184YUDD","96-XCC6-6BWB","Maharaja Whiteline Turbo DLX 750-Watt Mixer Grinder with 3 Jars (Black)","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X0017V5KL3","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","0.03","0","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0017KBDXD","VO-DR09-P59K","Panasonic 1.5 Ton 3 Star (2019 Range) CSCU-LC18VKY Split AC (White) ₹","0.1","1","RWB4","SELLABLE","IN"
"12/2020","X0016IARP1","XE-MZE5-1JOB","Wahl 1541.0011 Lithium Vario Ion Trimmer (18 Cutting Lengths) (Black)","0.1","1","BOM4","CUSTOMER_DAMAGED","IN"
"12/2020","X0015NXKG5","MZ-YHO1-NJN8","Prestige Svachh 3 Litre Pressure Cooker with Hard Anodized Body (Black)","0.06","0","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0014TS7XL","Q2-CWUY-QYH4","Prestige Tattva Copper Bedroom Bottle 01-900 ml","0.06","0","BOM7","SELLABLE","IN"
"12/2020","X0013Q9O6J","UP-EDQF-S8KA","Nokia 105 (Blue)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X0013Q9O6J","UP-EDQF-S8KA","Nokia 105 (Blue)","0.1","1","BLR7","DEFECTIVE","IN"
"12/2020","X0013GLSCH","AI-TIK7-CJLH","Prestige Popular Plus Induction Base Pressure Cooker, 12 Litres","0.03","0","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X000XZPI61","BK-CT6D-K8NF","Panasonic AC MX-AC400 Mixer Grinder, 550W, 4 Jars (Black)","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X000TT2Z6R","RF-WSYP-S4UA","Morphy Richards Icon Superb 1000-Watt Food Processor (Glazing Copper and Black)","0.03","0","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X000T3JDVD","ubngwniesr","Prestige Omega Select Plus Residue Free Non-Stick Appachetty with Lid, 20cm","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X001ALO8EF","amzn1.fba.v1.-vUdPt9FAMfy2Vx-NM0hoZx4syI","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Red","0.13","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AKY8KF","0M-HM3W-I6CZ","(Renewed) Eureka Forbes Wet and Dry Ultimo 20-Litre 1400 Watt Muilt Function Vacuum Cleaner (Red and Steel)","0.13","0","QWTT","SELLABLE","IN"
"12/2020","X001AJ9Q21","amzn1.fba.v1.IPPdGOzcayqcylIDCacRdM_tXk4","Bajaj Classic Mixer Grinder, 750W, 4 Jars (Comes with an Additional Chutney jar)","0.03","0","BLR7","WAREHOUSE_DAMAGED","IN"
"12/2020","X001A6YAPH","amzn1.fba.v1.btRkoe0OivpM_fOsl8K74sNSx2U","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","0.03","0","BLR7","WAREHOUSE_DAMAGED","IN"
"12/2020","X001A2JVWX","UX-W4YD-L329","Samsung Galaxy S10 Lite (Prism Black, 8GB RAM, 128GB Storage)","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X001907DA3","FO-WGHK-PE1D","Prestige Edge Gas Table PEBS 02 - Black","0.87","6","SDEE","SELLABLE","IN"
"12/2020","X0016UQSED","I2-BGSY-X4WS","Morphy Richards Super Glide 2000-Watt Steam Iron (White/Blue)","0.06","0","BLR7","CARRIER_DAMAGED","IN"
"12/2020","X0015NWP4D","LC-EQQQ-GJ3V","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.03","0","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0015N4WUX","I1-RHYF-844C","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","0.13","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X00142VTER","RX-NJ93-UUO0","Prestige Clip On Stainless Steel Kadai Pressure Cooker with Glass Lid Accessory, 2-Pieces, Metallic, 3.5 L","0.06","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00119O5ZX","H9-OI6P-P68E","Bajaj Majesty 1603 TSS 1200-Watt Oven Toaster Grill","0.13","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00117GL57","53-BITV-CVOK","Wonderchef Chef Kapoor Standard Size Electric Tandoor 1370-watt with Flexi-Hinge, Sandwich maker","0.19","2","BOM1","CUSTOMER_DAMAGED","IN"
"12/2020","X000Y8TS5J","KH-7YIR-FZ5G","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Red","0.13","1","BOM4","DEFECTIVE","IN"
"12/2020","X000WIKYR7","UI-K2A1-GKRP","Wonderchef - 63152446 Automatic Soup Maker 800-Watt (White and Steel)","1.48","15","QWTT","SELLABLE","IN"
"12/2020","X000TT2Z6R","RF-WSYP-S4UA","Morphy Richards Icon Superb 1000-Watt Food Processor (Glazing Copper and Black)","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X000SCY92D","OX-B1QR-GTQS","Prestige Tru-Edge Kitchen Knife Set with Wooden Block and Free Peeler, 5-Pieces, Black","1.16","0","SDEE","SELLABLE","IN"
"12/2020","X000QE83Y3","DZ-CUAP-LOXF","Panasonic KX-TG3711SX Cordless Phone (Silver)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X001AKYJU9","amzn1.fba.v1.2YxuJt74MHiHQsFUjhbq3D_pPXQ","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","0.19","2","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AILUOT","2Y-DFMJ-9X4J","OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) Without Offer","2.84","10","SIDA","SELLABLE","IN"
"12/2020","X001AHCO4P","amzn1.fba.v1.cZm_KXloj7WU2XRI6DGlYPpUGR4","Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X001A112W1","QZ-KZG7-YJOU","Morphy Richards 60 RCSS 60-Litre Oven Toaster Grill (Black/Silver)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X00184X7MD","BA-549F-Q2C9","Maharaja Whiteline Electric Kettle Viva Excel 1.8L Steel, 1500 Watt","0.03","0","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X0016QELIR","8L-ULPF-3DEZ","Wahl Stainless Steel Lithium Ion+ Beard and Nose Trimmer for Men, Hair Clippers, Detail Shaver, Rechargeable, All in One Men's Grooming Kit (Steel)","3.9","24","BOM1","SELLABLE","IN"
"12/2020","X0016HC11Z","S4-6MCY-8GU3","Syska HT4000K AquaTrim Cord & Cordless Rechargeable Beard Trimmer for Men – Multi-Purpose Trimmer with 60 Minutes Runtime and 9 Length Setting","0.1","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00119O5ZX","H9-OI6P-P68E","Bajaj Majesty 1603 TSS 1200-Watt Oven Toaster Grill","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X000ZUVNY5","FE-N2HD-6OFX","Panasonic Single Line KX-TS500MX Corded Phone (White)","2.61","15","SIDA","SELLABLE","IN"
"12/2020","X000Y8TS5J","KH-7YIR-FZ5G","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Red","0.06","0","BOM1","CARRIER_DAMAGED","IN"
"12/2020","X000V8QZ17","5W-G7VN-S430","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","0.06","0","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X000UR4Q7T","90-FKLX-2TKA","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","0.23","1","BOM7","SELLABLE","IN"
"12/2020","X000QE83Y3","DZ-CUAP-LOXF","Panasonic KX-TG3711SX Cordless Phone (Silver)","0.1","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X001AKYDT1","amzn1.fba.v1.XlA6R1GhThhYQv0OhSkQjYJvoe4","Orient Electric Hill Air 225mm Electric Exhaust Fan (Matt Grey)","0.35","2","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AKMHJ9","2S-AN4F-XC8P","(Renewed) NOKIA 105 SS (BLACK)","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X001A8A1VH","6M-1BSC-Y2YI","Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) Without Offer","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X0019XVD65","amzn1.fba.v1.ghOXyeaWUFmp3wtYmU8xADcgax0","Prestige PCJ 7.0 500-Watt Centrifugal Juicer","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X0019DOBJV","YA-GM4H-SA9L","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","0.1","0","BOM7","SELLABLE","IN"
"12/2020","X0019DOBJV","YA-GM4H-SA9L","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X0018M0WZP","F0-PL0E-7022","Orient Electric Hill Air 225mm Electric Exhaust Fan (Matt Grey)","0.03","0","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X00187IZAJ","G0-LWKH-2HLU","Panasonic MX-AC220-H 550-Watt 2-Jar Super Mixer Grinder (Grey)","0.35","1","BLR5","SELLABLE","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.19","1","SDEE","CUSTOMER_DAMAGED","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.19","1","SDEE","CARRIER_DAMAGED","IN"
"12/2020","X00184X7MD","BA-549F-Q2C9","Maharaja Whiteline Electric Kettle Viva Excel 1.8L Steel, 1500 Watt","0.06","0","BOM7","SELLABLE","IN"
"12/2020","X0017UJVOL","JW-NHFJ-H79W","Nokia 2.3 Android 10 Smartphone 2GB RAM, 32GB Storage, Dual Rear Camera, Charcoal","0.1","0","BOM7","CARRIER_DAMAGED","IN"
"12/2020","X0016H6LON","CF-O3LF-9HI8","Moser Hair Trimmer Professional Edition 1400 Red","0.29","1","QWTT","SELLABLE","IN"
"12/2020","X0015CD6Y7","07-9WCW-LA5Y","Wahl India Beretto Clipper (Silver)","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X0015CBJ23","VF-VHHD-CPY9","Wahl India Professional Legend Clipper (Multicolor)","0.29","1","QWTT","SELLABLE","IN"
"12/2020","X00146GTWF","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","0.13","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0013VNUJV","P8-NK2Q-U73D","Prestige Pop-up Toaster PPTPR- Red","0.03","0","BOM4","SELLABLE","IN"
"12/2020","X0013GLSCH","AI-TIK7-CJLH","Prestige Popular Plus Induction Base Pressure Cooker, 12 Litres","0.13","0","BLR7","SELLABLE","IN"
"12/2020","X000ZMGFI7","AD-MWWO-QCAB","Prestige Platina Induction Base Non-Stick Stainless Steel Fry Pan, 240mm, Silver","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X000Y6NOLF","EC-7BVF-0D5B","Prestige Popular Induction Base Stainless Steel Pressure Cooker, 5 Liters, Silver","0.19","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X000WKVZUP","XB-ZYHY-WI3D","Morphy Richards 28 RSS 28-Litre Stainless Steel Oven Toaster Grill (Black)","0.77","0","QWTT","SELLABLE","IN"
"12/2020","X000UR4Q7T","90-FKLX-2TKA","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","0.03","0","BOM7","CARRIER_DAMAGED","IN"
"12/2020","X000TR0TFN","C7-OY4P-REI8","Prestige Omega Deluxe Aluminium Granite Fry Pan, 200mm (Omelette Pan), Black","0.06","0","BLR7","SELLABLE","IN"
"12/2020","X000T74JK9","04-IHMQ-0QI4","Prestige PEC 3.0 250-Watt Electric Chopper (White)","0.16","0","SDED","CUSTOMER_DAMAGED","IN"
"12/2020","X000SOCGW1","5vnu44cqjk","Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","1.77","17","QWTT","SELLABLE","IN"
"12/2020","X000R4XK31","UE-5UR6-IWLN","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","0.19","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X001AKNDRT","amzn1.fba.v1.1-ynmzGaS782_kw9NoLqFr0Z5w0","Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)","0.23","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X001AKBKNN","amzn1.fba.v1.4QGrFydcvarlTHLQhLZx6TRFi0o","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","0.23","1","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0019RUEYD","WG-WNF7-NRD4","Wonderchef Granite Die-Cast Casserole 6 Pcs Set (Purple)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X0019GU8D1","amzn1.fba.v1.f1mRLbkCs5izwK64AhGm9QRLxWw","Panasonic SR-WA10 2.7 L Rice Cooker, Red","0.23","1","BOM3","CUSTOMER_DAMAGED","IN"
"12/2020","X001961BD7","3H-NW3B-AFWY","Panasonic Super MX-AC300S 550-Watt Mixer Grinder with 3 Jars (Blue)","1.81","8","BOM7","SELLABLE","IN"
"12/2020","X00184Z27V","GV-JU04-H6W3","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.84","4","SDEE","DEFECTIVE","IN"
"12/2020","X00184X7MD","BA-549F-Q2C9","Maharaja Whiteline Electric Kettle Viva Excel 1.8L Steel, 1500 Watt","0.13","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0015MV06X","M8-XSJW-VFH4","Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","8.03","15","BOM4","SELLABLE","IN"
"12/2020","X0015GK7YP","Q0-IYOL-FZRA","Bajaj MX35N 2000 Watts Steam Iron (Black)","0.19","0","QWTT","SELLABLE","IN"
"12/2020","X00142SAZ3","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","0.1","0","BOM7","SELLABLE","IN"
"12/2020","X0013MP1K1","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1.45","10","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000ZKALLV","CU-QOZH-0NFI","Bajaj Majesty KTX 9 1-Litre Multifunction Stainless Steel Kettle","0.1","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X000Y4SUTX","ET-HU35-65DT","Prestige PKPW 1.0 900-Watt Electric Kettle","2.71","12","SIDA","SELLABLE","IN"
"12/2020","X000Y0986L","5D-GPY4-QU7E","Prestige PIC 1.0 V2 1900-Watt Induction Cooktop (Black)","0.48","1","SIDA","SELLABLE","IN"
"12/2020","X000XR6VZB","JM-J9DR-72Q7","Prestige Stainless Steel Flip Bin, 24-litres, Silver/Black","0.68","3","SIDA","SELLABLE","IN"
"12/2020","X000X7WL87","IE-F3O8-1OMR","Prestige Omega Select Plus Non-Stick Flat Base Kadai with Lid, 20cm, 2.2 Litters, Black","2.71","12","SIDA","SELLABLE","IN"
"12/2020","X000V8QZ17","5W-G7VN-S430","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","0.1","0","BOM7","SELLABLE","IN"
"12/2020","X000T6LBDX","D0-NY73-KXPD","Prestige PCJ 7.0 500-Watt Centrifugal Juicer","0.03","0","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X000SOCGW1","5vnu44cqjk","Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black)","0.13","0","BOM4","CUSTOMER_DAMAGED","IN"
